image_name,human_annotation,Model X,Model Z,Transformer_NSC,Microsoft Caption Bot
3745451546_fc8ec70cbd.png,A hiker ascends a snowy hill,a man stands on a cliff overlooking the mountains,Man is high up hill,a man riding a snowboard down a snow covered slope',I think it's a dog on a snowy mountain.
2844018783_524b08e5aa.png,Two young boys sit and one young boy stands on an unfinished wooden floor,a little boy is sliding down a red slide,Man boys watching,a group of kids playing a game of baseball',I think it's a group of kids playing in a room.
3100251515_c68027cc22.png,A crowd of people wearing jackets and holding signs,a group of people are standing outside of a wine shop,There march is walking down the next,a group of people standing next to each other',I think it's a group of people protesting.
2207244634_1db1a1890b.jpg,Young man is performing a trick on a skateboard in a park,a young boy in a blue shirt is sitting on a red plastic horse,Man helmeted boy in skateboarding in the park,a young man flying through the air while riding a skateboard',I think it's a man skating on a ramp.
2943023421_e297f05e11.png,A black Mitsubishi is driving through a muddy puddle and spraying water,a group of cars are parked on a wet path in front of a yellow truck,An vehicle on water on the door in puddle,a car parked in the middle of a forest',I think it's a car driving on a dirt road.
3286822339_5535af6b93.png,A busy city street with many people walking along it,a man with a hat stands in front of a restaurant,chinese market,a group of people walking down a sidewalk',I think it's people walking on a street.
2479652566_8f9fac8af5.jpg,A little girl wearing sunglasses puts her feet into the kitchen sink,a man in a black shirt is sitting on a red bench,Little girl plays sunglasses puts her feet into the kitchen sink,a little girl sitting on top of a counter',I think it's a person sitting on a chair.
2748729903_3c7c920c4d.png,The parasailer is skipping across the water,a man in a white shirt is standing next to a man in a red shirt,Parasailer after skipping across the water,a zebra that is standing in the water',I think it's a person in a boat with a large umbrella in the water.
444481722_690d0cadcf.png,A dark skinned man walks by a woman talking on a cellphone,a man in a red shirt is standing in front of a fountain,Two people standing on sidewalk of the ice and man walks past,a couple of people walking down a sidewalk',I think it's a man and woman walking down the street.
1352410176_af6b139734.png,Girl walking along the tops of wooden posts set into sand on a beach,two people are sitting on a dock watching the sunset,Girl is jumping on that,a person standing in the sand on a beach',I think it's a person standing on a railing on a beach.
1131932671_c8d17751b3.png,A boy is jumping on a bed,a young boy in a red shirt is sitting on a bed,Boy leaps from the air in the bed to another bed,a person jumping up in the air on a bed',I think it's a person sitting on a bed.
2884301336_dc8e974431.png,A dog comes out of a blue baby pool with a ball in his mouth,a black and white dog jumps into a pool,Dog swimming pool with small,a picture of an animal in a car',I think it's a dog in a pool.
